second,microsecond,d20 roll
2,131265,3
2,131299,11
2,131332,18
2,131366,9
2,131399,1
2,131537,4
2,131601,2
2,131644,18
2,131682,20
2,131719,7
2,131755,7
2,131791,5
2,131828,6
2,131862,13
2,131906,16
2,131941,19
2,131980,9
2,132014,20
2,132055,11
2,132089,7
2,132125,12
2,132161,19
2,132338,12
2,132473,6
2,132549,18
2,132596,20
2,132637,19
2,132882,5
2,132978,10
2,133023,15
2,133063,20
2,133103,15
2,133151,9
2,133191,11
2,133229,18
2,133264,3
2,133300,17
2,133341,16
2,133379,1
2,133422,19
2,133457,3
2,133499,17
2,133534,2
2,133576,12
2,133613,3
2,133665,8
2,133715,2
2,133755,1
2,134893,17
2,135002,20
2,135044,9
2,135083,20
2,135120,17
2,135182,2
2,135222,5
2,135269,13
2,135312,6
2,135349,7
2,135387,2
2,135431,19
2,135467,2
2,135501,19
2,135538,8
2,135727,4
2,135786,16
2,135827,11
2,136570,19
2,136633,18
2,136673,17
2,136711,10
2,136747,5
2,136792,17
2,136828,1
2,136866,16
2,136901,6
2,136945,5
2,136980,20
2,137017,4
2,137067,15
2,137113,11
2,137152,7
2,137190,15
2,137257,18
2,137292,8
2,137328,2
2,137362,10
2,137404,16
2,137439,1
2,137474,4
2,137508,5
2,137747,16
2,137954,1
2,138133,9
2,138279,3
2,138396,16
2,138508,17
2,138616,6
2,138725,14
2,138832,20
2,138938,15
2,139044,11
2,139150,13
2,139255,17
2,139362,18
2,139469,7
2,139575,12
2,139679,6
2,139784,1
2,139889,6
2,139995,11
2,140099,3
2,140203,7
2,140308,4
2,140413,6
2,140518,8
2,140626,3
2,140732,1
2,140837,6
2,140942,11
2,141050,7
2,141156,6
2,141260,6
2,141365,10
2,141472,10
2,141578,8
2,141683,16
2,141814,11
2,141930,14
2,141974,19
2,142011,3
2,142048,19
2,142085,15
2,142121,9
2,142155,14
2,142191,12
2,142226,6
2,142259,1
2,142294,2
2,142328,19
2,142362,7
2,142395,13
2,142429,15
2,142462,5
2,142495,4
2,142528,8
2,142562,5
2,142596,6
2,142629,6
2,142663,15
2,142697,8
2,142739,20
2,142772,20
2,142813,3
2,142846,9
2,142888,12
2,142921,20
2,142962,10
2,142996,3
2,143037,7
2,143071,19
2,143112,16
2,143146,6
2,143187,5
2,143220,12
2,143260,18
2,143294,17
2,143333,5
2,143367,18
2,143407,16
2,143440,6
2,143480,18
2,143513,15
2,143800,15
2,143971,9
2,144095,6
2,144426,15
2,144478,13
2,144516,19
2,144552,11
2,144587,7
2,144623,17
2,144658,13
2,144693,1
2,144727,16
2,144761,3
2,144794,18
2,144836,13
2,144870,17
2,144903,8
2,144936,12
2,144979,15
2,145012,1
2,145046,5
2,145085,17
2,145120,11
2,145161,10
2,145193,15
2,145227,9
2,145260,6
2,145300,17
2,145333,3
2,145366,12
2,145398,7
2,145432,18
2,145464,13
2,145497,4
2,145529,10
2,145562,4
2,145594,9
2,145627,14
2,145660,1
2,145693,9
2,145726,17
2,145759,14
2,145791,1
2,146052,18
2,146438,8
2,146578,15
2,146731,18
2,146859,11
2,146979,5
2,147098,16
2,147213,18
2,147330,4
2,147559,5
2,147688,8
2,148565,8
2,148715,19
2,148782,18
2,148825,13
2,148867,2
2,148909,17
2,149168,7
2,149231,1
2,149273,14
2,149313,16
2,149353,17
2,149392,4
2,149432,7
2,149470,19
2,149517,1
2,149556,6
2,149602,3
2,149640,4
2,149678,15
2,149715,11
2,149753,4
2,149792,17
2,149829,6
2,149867,18
2,149904,17
2,149941,9
2,149978,15
2,150015,6
2,150053,10
2,150090,12
2,150127,2
2,150164,6
2,150202,19
2,150239,19
2,150285,5
2,150322,16
2,150367,5
2,150405,19
2,150449,5
2,150487,8
2,150531,20
2,150569,1
2,150614,14
2,150651,9
2,150695,6
2,150732,11
2,150777,15
2,150813,9
2,150857,4
2,150895,12
2,150939,15
2,150977,11
2,151022,16
2,151061,20
2,151098,7
2,151135,20
2,151180,8
2,151219,14
2,151256,17
2,151301,5
2,151338,5
2,151383,13
2,151421,14
2,151477,8
2,151515,20
2,151551,2
2,151588,14
2,151626,10
2,151664,12
2,151710,7
2,151748,7
2,151794,15
2,151832,2
2,151876,11
2,151913,6
2,151958,8
2,151995,13
2,152040,12
2,152077,14
2,152121,7
2,152158,8
2,152203,9
2,152240,3
2,152284,13
2,152321,1
2,152366,12
2,152403,15
2,152440,1
2,152478,6
2,152783,4
2,152850,1
2,152898,15
2,152954,17
2,152997,17
2,153039,1
2,153081,5
2,153140,7
2,153180,15
2,153258,4
2,153474,20
2,153651,5
2,153719,5
2,153764,15
2,153806,2
2,153849,1
2,153888,8
2,153937,6
2,153976,20
2,154030,3
2,154218,5
2,154361,12
2,154421,6
2,154463,18
2,154645,12
2,154811,4
2,154964,1
2,155041,6
2,155082,16
2,155123,2
2,155162,7
2,155572,6
2,155738,19
2,156152,5
2,156305,2
2,156697,5
2,156868,4
2,157023,9
2,157126,11
2,157172,13
2,157231,18
2,157283,13
2,157331,17
2,157372,11
2,157423,20
2,157461,8
2,157501,1
2,157540,9
2,157579,17
2,157617,6
2,157660,17
2,157697,8
2,157736,9
2,157782,16
2,157835,2
2,157884,14
2,157924,7
2,157963,14
2,158003,15
2,158043,11
2,158081,1
2,158121,19
2,158159,3
2,158197,5
2,158236,14
2,158274,14
2,158313,11
2,158350,4
2,158388,7
2,158426,3
2,158466,16
2,158504,6
2,158542,5
2,158579,7
2,158616,19
2,158655,18
2,158692,10
2,158730,5
2,158768,5
2,158812,6
2,158849,3
2,158887,18
2,158965,20
2,159023,11
2,159061,7
2,159099,6
2,159137,9
2,159185,12
2,159222,2
2,159260,4
2,159300,7
2,159404,19
2,159452,14
2,159505,12
2,159555,7
2,159602,9
2,159644,7
2,159684,13
2,159723,12
2,159762,6
2,159801,19
2,159840,12
2,159879,4
2,159920,2
2,159959,16
2,159998,5
2,160045,2
2,160085,8
2,160123,7
2,160162,9
2,160200,11
2,160238,8
2,160276,14
2,160314,8
2,160392,9
2,160457,19
2,160502,9
2,160543,19
2,160583,17
2,160624,19
2,160667,5
2,160714,18
2,160752,18
2,160842,8
2,160895,10
2,160933,4
2,160974,20
2,161021,4
2,161064,18
2,161114,18
2,161152,9
2,161190,9
2,161228,7
2,161301,4
2,161361,10
2,161415,15
2,161457,20
2,161510,1
2,161550,9
2,161595,1
2,161646,18
2,161691,19
2,161785,10
2,161834,14
2,161875,11
2,161929,17
2,161976,4
2,162014,5
2,162052,10
2,162089,2
2,162127,14
2,162164,4
2,162202,7
2,162258,20
2,162300,18
2,162338,14
2,162375,12
2,162412,7
2,162450,11
2,162488,5
2,162528,2
2,162576,19
2,162613,15
2,162650,8
2,162688,20
2,162725,5
2,162765,19
2,162802,10
2,162842,4
2,162879,6
2,162931,8
2,162978,16
2,163022,1
2,163064,20
2,163107,16
2,163147,8
2,163188,4
2,163226,15
2,163272,9
2,163310,12
2,163356,20
2,163393,6
2,163429,9
2,163467,12
2,163508,16
2,163545,15
2,163581,13
2,163618,18
2,163655,2
2,163696,11
2,163733,18
2,163771,3
2,163808,4
2,163856,9
2,163903,1
2,163940,4
2,163981,16
2,164018,6
2,164058,5
2,164098,4
2,164135,6
2,164172,5
2,164209,11
2,164249,8
2,164287,1
2,164326,15
2,164365,16
2,164404,12
2,164442,19
2,164480,9
2,164519,19
2,164559,17
2,164598,4
2,164637,6
2,164677,19
2,164716,9
2,164755,1
2,164799,15
2,164847,18
2,164886,7
2,164926,16
2,164965,7
2,165003,17
2,165042,3
2,165081,13
2,165120,11
2,165159,19
2,165197,7
2,165240,12
2,165313,13
2,165375,9
2,165415,12
2,165463,17
2,165513,1
2,165557,15
2,165612,13
2,165660,4
2,165751,5
2,165800,3
2,165854,10
2,165899,16
2,165947,12
2,165988,6
2,166029,13
2,166068,8
2,166108,10
2,166147,1
2,166186,20
2,166231,18
2,166283,3
2,166327,14
2,166383,16
2,166426,10
2,166488,16
2,166531,14
2,166585,17
2,166627,17
2,166667,5
2,166705,7
2,166745,11
The program simulated 1000 dice rolls  in 0.0626227855682373 seconds.
The mean average of these numbers is 10.57
The mean roll is 11 
"The longest strings of repeats were rolls of [16, 14, 10, 15, 19, 1, 11, 16, 15, 16, 9, 10, 11, 12, 12, 18, 20, 11, 4, 3, 15, 7, 6, 10, 6, 20, 15, 8, 19, 5, 7, 17, 5, 14, 5, 18, 18, 9, 17]. Each were rolled 2 times in a row."
Below are Most Common Roll(s) and Times that # was Rolled
{6: 61}
